,num_devices,task_data,local_completion_time,energy_consumed,total_weighted_waste,completion_time
117,100,25,1.1210783457570915e-10,4.298093699460511e-06,2.1491029036475435e-06,
118,100,30,1.977250670061868e-10,7.580566228409135e-06,3.7903819767380706e-06,
119,100,10,6.193734616469864e-10,2.37461117966752e-05,1.1873365585068423e-05,
120,100,15,1.729303266237323e-10,6.62996257237636e-06,3.315067751351492e-06,
121,100,15,1.3730624723152754e-10,5.264173715922143e-06,2.6321555110846873e-06,
122,100,40,2.4106205822599234e-09,9.242059821790705e-05,4.621150441924466e-05,
123,100,10,5.711962473721605e-10,2.189904926160903e-05,1.0949810228928202e-05,
124,100,20,1.6945924578304788e-09,6.496885069380005e-05,3.248527264312894e-05,
125,100,20,9.096765117884107e-11,3.4876018243172373e-06,1.743846395984208e-06,
126,100,35,7.869348029652925e-10,3.017023325187108e-05,1.5085510093337022e-05,
127,100,20,4.681759791688738e-11,1.7949363074581206e-06,8.974915625280187e-07,
128,100,5,1.3898037519897022e-09,5.32835798008342e-05,2.6642484802293095e-05,
129,100,45,8.963124351230735e-11,3.4363653929547155e-06,1.7182275120991138e-06,
130,100,5,1.1372890440814621e-09,4.360243771839957e-05,2.1801787503721827e-05,
131,100,25,3.250220703171754e-10,1.2460996306841084e-05,6.2306606644557e-06,
132,100,35,1.7948164717429099e-09,6.881133150133677e-05,3.440656315890426e-05,
133,100,45,2.8668661805141e-10,1.0991256333064472e-05,5.495771509841262e-06,
134,100,40,2.0319063709587172e-09,7.790110302249669e-05,3.895156746443382e-05,
135,100,30,1.951065591120081e-11,7.480175454431992e-07,3.740185280495552e-07,
136,100,45,2.850300849268274e-09,0.00010927746636238532,5.464015833161729e-05,
137,100,35,3.930417394106164e-10,1.5068797200296689e-05,7.53459512101805e-06,
138,100,30,1.7186233351600604e-09,6.589016866264397e-05,3.2945943642989565e-05,
139,100,40,7.854404511254289e-10,3.0112941410921663e-05,1.5056863425686394e-05,
140,100,5,3.1872172642317814e-10,1.2219447903933194e-05,6.109883312829809e-06,
141,100,20,6.241719172304164e-10,2.39300794184595e-05,1.1965351795188364e-05,
142,100,10,2.7960069790514433e-11,1.0719589782276025e-06,5.359934691486965e-07,
143,100,40,1.6543279377535383e-09,6.342515233668275e-05,3.171340333231025e-05,
144,100,35,2.993325626550207e-11,1.1476088236474391e-06,5.738193784518523e-07,
145,100,20,7.170697570866741e-10,2.7491682598922567e-05,1.3746199834339828e-05,
146,100,40,1.2538974431021665e-09,4.80730782140609e-05,2.4037166055752e-05,
147,100,15,7.04637085463878e-10,2.701502735201996e-05,1.3507865994552711e-05,
148,100,45,7.998085217789277e-10,3.0663797773306415e-05,1.5332298790914097e-05,
149,100,5,4.42454411943508e-10,1.696322587507143e-05,8.481834164741686e-06,
150,150,15,9.292155549340401e-10,3.562512412462621e-05,1.781302667009057e-05,
151,150,15,8.468905789959124e-11,3.246887316565377e-06,1.6234860028116382e-06,
152,150,40,2.9175795938480913e-10,1.1185686100755472e-05,5.592988929357429e-06,
153,150,25,3.2524910359432523e-10,1.2469700518297655e-05,6.235012883700625e-06,
154,150,35,1.0488002594386182e-11,4.0209872968703353e-07,2.0105460884481396e-07,
155,150,5,3.6739960668721125e-10,1.4085705434085032e-05,7.04303641684586e-06,
156,150,20,1.8114835202664777e-09,6.94503282005315e-05,3.472606984202588e-05,
157,150,35,1.2379939725160196e-09,4.746335627103548e-05,2.3732297132503998e-05,
158,150,15,8.363083867704131e-11,3.206316330690004e-06,1.6031999807643404e-06,
159,150,10,7.75549569038635e-12,2.973373563872698e-07,1.4867255594148008e-07,
160,150,5,1.594065259424068e-09,6.111474611912629e-05,3.055817009219286e-05,
161,150,20,1.3166699206480003e-09,5.0479707431906236e-05,2.5240512050913442e-05,
162,150,35,8.38697729871128e-10,3.215476814937959e-05,1.607780342355473e-05,
163,150,10,9.482164127422073e-10,3.635359655956987e-05,1.817727238799131e-05,
164,150,35,2.951863877217087e-10,1.1317128352669888e-05,5.658711769528805e-06,
165,150,40,3.3364622820634884e-10,1.27916372368608e-05,6.395985441544503e-06,
166,150,5,1.1488331765731664e-09,4.404502733148164e-05,2.2023088082329105e-05,
167,150,30,4.1220152414353797e-10,1.5803362722458983e-05,7.901887461991564e-06,
168,150,5,4.3685905562792723e-10,1.674870593703808e-05,8.374571398046854e-06,
169,150,5,1.9357865103636257e-09,7.421597103524216e-05,3.710895341087626e-05,
170,150,35,1.3657500664171996e-09,5.236138738850854e-05,2.618137656928748e-05,
171,150,10,1.4266457954057106e-09,5.4696064086887e-05,2.7348745366341202e-05,
172,150,10,3.9869991416118753e-10,1.5285725529506838e-05,7.6430621147105e-06,
173,150,15,1.1297279384898626e-09,4.331255306914909e-05,2.165684139854379e-05,
174,150,15,1.597111277606695e-09,6.123152717737025e-05,3.061656214432393e-05,
175,150,20,8.071082660566474e-11,3.094366211112441e-06,1.5472234609695234e-06,
176,150,20,2.4361665232322717e-10,9.340000209592855e-06,4.670121913122589e-06,
177,150,40,1.4553815841649168e-09,5.579776329535368e-05,2.7899609338468922e-05,
178,150,30,2.811210035310596e-10,1.077787666344478e-05,5.389078892224155e-06,
179,150,35,1.3131384723767135e-09,5.034431550660295e-05,2.5172814322537663e-05,
180,150,25,2.569818456873719e-10,9.85240733624829e-06,4.926332159046989e-06,
181,150,25,2.647468010452936e-09,0.00010150107366106031,5.0751860564535386e-05,
182,150,20,1.2908521116185417e-09,4.9489880425226776e-05,2.4745585638669196e-05,
183,150,20,1.3663224044349146e-09,5.238333021201606e-05,2.6192348267210246e-05,
184,150,5,2.539682431560481e-10,9.736869059181543e-06,4.8685615137123495e-06,
185,150,15,2.1652660097397808e-10,8.301396801874393e-06,4.150806664237683e-06,
186,150,45,1.8488526366710752e-10,7.088301989760054e-06,3.544243437511861e-06,
187,150,45,2.1338604861929032e-10,8.180991405234664e-06,4.090602395641642e-06,
188,150,10,1.1525561114452827e-09,4.41877606469355e-05,2.2094456601523473e-05,
189,150,40,3.6679640913438196e-10,1.4062579489219919e-05,7.031473142814527e-06,
190,150,45,2.1524416500317082e-11,8.252229587228338e-07,4.1262224156966706e-07,
191,150,45,1.5715739278667017e-09,6.025245267794925e-05,3.0127012125938557e-05,
192,150,35,1.4775063824516155e-10,5.664600424548705e-06,2.8323740875934752e-06,
193,150,10,2.0703062930643814e-09,7.937331470053663e-05,3.968769250341484e-05,
194,150,25,1.0870367925816883e-10,4.167582048979704e-06,2.083845376329481e-06,
195,150,10,4.377400252392665e-10,1.6782481363619496e-05,8.391459551822369e-06,
196,150,15,7.877548955669504e-10,3.0201674719432202e-05,1.5101231237163884e-05,
197,150,35,1.8842928724271506e-10,7.224176038694354e-06,3.6121822339907987e-06,
198,150,35,3.4905794563986414e-10,1.3382505893360662e-05,6.691427475653151e-06,
199,150,15,1.0191221991828911e-09,3.907204808536564e-05,1.953653360378241e-05,
200,150,20,1.5784912807060908e-09,6.051765653964586e-05,3.0259617515463283e-05,
201,150,5,2.2695877369292372e-09,8.701355074234951e-05,4.350791016504322e-05,
202,150,45,3.4785562761038166e-10,1.3336410314342259e-05,6.6683790849849345e-06,
203,150,40,4.951640064421437e-10,1.8984054989050165e-05,9.492275076528304e-06,
204,150,40,1.1218520368977348e-09,4.301059948009966e-05,2.150586066606828e-05,
205,150,30,4.0667644650862986e-10,1.559153719339133e-05,7.79597193491892e-06,
206,150,25,5.42175998601946e-10,2.078644416252649e-05,1.0393493169262547e-05,
207,150,35,1.6278228165289725e-09,6.240897452029823e-05,3.1205301171557376e-05,
208,150,30,8.947246879861388e-10,3.4302781413443145e-05,1.7151838069065567e-05,
209,150,40,1.3771282786517435e-09,5.2797615797535505e-05,2.639949646290708e-05,
210,150,40,2.3306133533371203e-09,8.935320718456974e-05,4.4677768898961536e-05,
211,150,10,1.7069239882003616e-10,6.544162829393918e-06,3.272166760896369e-06,
212,150,25,1.7284173681710278e-10,6.6265661345524395e-06,3.3133694881446285e-06,
213,150,30,5.720701331606577e-10,2.1932553102048038e-05,1.09665625860906e-05,
214,150,25,1.2076161928207026e-09,4.629870489759496e-05,2.314995625689389e-05,
215,150,35,4.1310806143053574e-10,1.5838118386202893e-05,7.919265747132162e-06,
216,150,45,8.402424818211256e-10,3.221399227629848e-05,1.610741625939015e-05,
217,150,15,5.081990661571381e-11,1.948380514696864e-06,9.742156673017397e-07,
218,150,25,2.9420242415350893e-10,1.1279404248650005e-05,5.639849225537079e-06,
219,150,35,2.9432397971644814e-10,1.128406455808494e-05,5.642179441032328e-06,
220,150,35,2.2949762298674072e-10,8.79869182322251e-06,4.399460660422748e-06,
221,150,40,8.672578724244393e-10,3.324973327138614e-05,1.6625300264629283e-05,
222,150,35,9.764279287558658e-11,3.743519571532422e-06,1.8718086071626488e-06,
223,150,25,4.64495818037093e-10,1.7808269658288123e-05,8.90436707705308e-06,
224,150,25,1.1086922513525475e-09,4.250606746811237e-05,2.1253588080181863e-05,
225,150,15,1.6400574980104423e-09,6.287803903830833e-05,3.143983954790317e-05,
226,150,15,1.1225978584532724e-09,4.3039193475701395e-05,2.1520158036779925e-05,
227,150,15,2.337127223208549e-10,8.96029419436029e-06,4.480263953541306e-06,
228,150,30,1.0450513934109332e-09,4.0066145480658504e-05,2.0033595266025958e-05,
229,150,25,6.647612706194681e-10,2.5486231535097203e-05,1.2743448148183912e-05,
230,150,5,1.0461395316191984e-09,4.010786352823999e-05,2.0054454833885803e-05,
231,150,35,3.3582942377125933e-10,1.2875338604724569e-05,6.43783721707417e-06,
232,150,45,6.74038380389285e-11,2.5841905937352524e-06,1.2921289987866457e-06,
233,150,15,2.516503861547692e-09,9.648004916803347e-05,4.824128283594751e-05,
234,150,10,1.0369103380476405e-10,3.975402618144666e-06,1.987753154589235e-06,
235,150,45,2.921915793111646e-10,1.1202310621962956e-05,5.601301406771133e-06,
236,150,30,6.212202737444775e-10,2.3816916584497175e-05,1.190876890238546e-05,
237,150,35,2.4423087546824552e-09,9.363548863794031e-05,4.6818965473347494e-05,
238,150,45,1.4638142457904159e-09,5.612106246475975e-05,2.806126313950277e-05,
239,150,45,1.08620143486202e-09,4.164379377404349e-05,2.0822439987739176e-05,
240,150,45,1.754799056657442e-09,6.727710688359704e-05,3.363943084132685e-05,
241,150,45,1.1391547473014374e-09,4.367396677152229e-05,2.1837552963134796e-05,
242,150,35,1.2594804978547044e-10,4.828712652340917e-06,2.414419300195351e-06,
243,150,40,1.8604127538858348e-09,7.132622234775784e-05,3.566404138025587e-05,
244,150,30,8.269487957800314e-10,3.170432666343495e-05,1.5852576806115366e-05,
245,150,20,1.1109605264358933e-09,4.259303069312933e-05,2.1297070826827882e-05,
246,150,15,4.110726632069228e-10,1.5760083409308426e-05,7.880247240985817e-06,
247,150,30,5.783232237857674e-10,2.2172289865492432e-05,1.1086434094358109e-05,
248,150,5,2.6700842581210577e-10,1.023681562514581e-05,5.118541316785811e-06,
249,150,10,1.475120941515614e-09,5.6554549007802125e-05,2.827801206437182e-05,
250,150,5,1.0065126994850812e-09,3.85886134404131e-05,1.9294809976556294e-05,
251,150,5,2.668614425012148e-10,1.023118044322603e-05,5.115723652334266e-06,
252,150,40,5.709779823137139e-10,2.1890681214219015e-05,1.0945626096100664e-05,
253,150,35,8.171426731372052e-10,3.132837047708291e-05,1.5664593809878027e-05,
254,150,5,6.256154822695874e-10,2.398542414813968e-05,1.1993024881810976e-05,
255,150,5,4.703829693862842e-10,1.803397670380813e-05,9.017223543388758e-06,
256,150,10,6.185352840734333e-11,2.3713976970759127e-06,1.18572977530216e-06,
257,150,15,2.2417765227084887e-09,8.594729872643157e-05,4.2974770251477135e-05,
258,150,25,1.2279533919145164e-09,4.7078411218929404e-05,2.353981958616066e-05,
259,150,35,5.488968230663116e-10,2.104411333787714e-05,1.0522331117350103e-05,
